Building,Latitude,Longitude
Activity Center (AB),32.98511756,-96.74944336
Activity Center Bookstore (ACB),32.98453268,-96.74939679
Administration Building (AD),32.98962969,-96.74836752
Berkner Hall (BE),32.98771227,-96.75089231
Bioengineering and Sciences Building (BSB),32.99142521,-96.74955681
Callier Center Richardson (CR),32.99243215,-96.74868494
Callier Center Richardson Addition (CRA),32.9916992,-96.74856333
Cecil H. Green Hall (GR),32.98841284,-96.74778995
Classroom Building (CB),32.98971038,-96.74917747
Davidson-Gundy Alumni Center (DGA),32.98610087,-96.74626414
Edith and Peter O'Donnell Jr. Anthenaeum (APC1),32.98374056,-96.7472271
Edith O'Donnell Arts & Technology Building (ATC),32.98615801,-96.74757953
Engineering and Computer Science North (ECSN),32.98700937,-96.75059606
Engineering and Computer Science South (ECSS),32.98623806,-96.75047024
Engineering and Computer Science West (ESCW),32.98599934,-96.75152399
Environmental Health and Safety Building (SG),32.99087827,-96.74684274
Erik Jonsson Academic Center (JO),32.9888922,-96.74878479
Eugene McDermott Library (MC),32.98691499,-96.74762272
Facilities Management (FM),32.99243216,-96.74577989
Founders Annex (FA),32.98760958,-96.74990162
Founders Building (FO),32.98768516,-96.74905027
Founders North (FN),32.98811838,-96.7493833
Karl Hoblitzelle Hall (HH),32.98695174,-96.75164222
Modular Lab 1 (ML1),32.98679273,-96.75275027
Modular Lab 2 (ML2),32.98679276,-96.75330399
Natural Science and Engineering Research Lab (RL),32.99144197,-96.74998354
Naveen Jindal School of Management (JSOM),32.98508112,-96.74689242
North Lab (NL),32.99030882,-96.74902051
North Office Building (NB),32.98963573,-96.75297891
Parking Structure 3 (PS3),32.99051514,-96.75022831
Physics Annex (PHA),32.9895124,-96.74995858
Physics Building (PHY),32.98933742,-96.75066963
Police (PD),32.99164393,-96.74556365
Research and Operations Center (ROC),32.98608183,-96.75728957
Research and Operations Center West (ROW),32.98644311,-96.75859431
Science Learning Center (SLC),32.98814981,-96.75045735
Sciences Building (SCI),32.98873699,-96.75074617
Service Building (SB),32.99130695,-96.74639258
Student Services Building (SSB),32.98591224,-96.74892365
Student Services Building Addition (SSA),32.98593474,-96.749444
Student Union (SU),32.98668367,-96.74952794
Synergy Park North 1 (SPN),32.99379896,-96.75222062
Synergy Park North 2 (SP2),32.99501023,-96.75349553
University Theatre (TH),32.98840642,-96.74870514
Waterview Science and Technology Center (WSTC),32.99197474,-96.75741263
